City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Manisa,TR,2021-09-26 13:33:23,38.8333,28.1667,83.68,20,0,5.03
225,Nador,MA,2021-09-26 13:33:24,35.174,-2.9287,84.27,53,0,6.91
226,Aklavik,CA,2021-09-26 13:33:24,68.2191,-135.0107,30.92,90,100,8.08
227,Karagaylinskiy,RU,2021-09-26 13:33:25,54.172,86.5521,33.24,98,100,9.89
228,Fiumicino,IT,2021-09-26 13:33:25,41.7675,12.2291,88.11,63,20,10.36
229,The Valley,AI,2021-09-26 13:33:25,18.217,-63.0578,88.11,74,20,8.05
230,Iqaluit,CA,2021-09-26 13:30:13,63.7506,-68.5145,35.33,87,75,8.99
231,Ulaangom,MN,2021-09-26 13:33:26,49.9811,92.0667,42.31,49,28,8.59
232,Severo-Kurilsk,RU,2021-09-26 13:33:26,50.6789,156.125,47.3,91,56,10.92
233,Ribeira Grande,PT,2021-09-26 13:33:27,38.5167,-28.7,73.8,68,20,19.57
234,Fairbanks,US,2021-09-26 13:33:27,64.8378,-147.7164,30.31,93,96,0.67
235,Vangaindrano,MG,2021-09-26 13:33:28,-23.35,47.6,72.55,75,64,9.33
236,Bambous Virieux,MU,2021-09-26 13:33:28,-20.3428,57.7575,73.65,83,75,13.8
237,Narsaq,GL,2021-09-26 13:33:29,60.9167,-46.05,35.82,36,0,4.7
238,Faya,SA,2021-09-26 13:33:29,18.3851,42.4509,82.51,19,53,16.33
239,Severnyy,RU,2021-09-26 13:33:29,50.677,36.5532,55.44,62,0,17.9
240,Provideniya,RU,2021-09-26 13:33:30,64.3833,-173.3,32.07,84,100,6.22
241,Sola,VU,2021-09-26 13:33:30,-13.8833,167.55,78.55,79,15,16.4
242,Isangel,VU,2021-09-26 13:33:30,-19.55,169.2667,69.12,79,9,6.96
243,Damaturu,NG,2021-09-26 13:33:31,11.747,11.9608,95.02,24,8,0.47
244,Taltal,CL,2021-09-26 13:33:31,-25.4,-70.4833,63.64,64,28,4.16
245,Copiapo,CL,2021-09-26 13:33:32,-27.3667,-70.3333,49.69,24,0,4.09
246,Piacabucu,BR,2021-09-26 13:33:32,-10.4056,-36.4344,81.7,69,16,11.99
247,Walvis Bay,NA,2021-09-26 13:33:32,-22.9575,14.5053,65.35,63,0,10.36
