City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Rognan,NO,67.0953,15.3878,55.54,89,100,7.52,overcast clouds
278,Atuona,PF,-9.8,-139.0333,78.33,72,77,20.83,broken clouds
279,Santa Isabel,BR,-23.3156,-46.2214,70.66,91,94,5.53,overcast clouds
280,Koungou,YT,-12.7336,45.2042,73.11,88,40,4.61,scattered clouds
281,Waterloo,CA,43.4668,-80.5164,59.65,88,1,4.0,clear sky
282,Barranca,PE,-10.75,-77.7667,61.09,87,42,8.72,scattered clouds
283,Seymchan,RU,62.8833,152.4333,33.6,100,100,4.45,light rain
284,Acapulco,MX,16.8634,-99.8901,82.22,78,40,2.3,scattered clouds
285,Svetlogorsk,BY,52.6333,29.7333,40.75,80,78,6.87,broken clouds
286,Dekar,BW,-21.5333,21.9333,59.68,18,3,9.53,clear sky
287,Port Hawkesbury,CA,45.6169,-61.3485,52.59,97,1,4.61,clear sky
288,Egvekinot,RU,66.3167,-179.1667,16.93,77,0,3.11,clear sky
289,Mindelo,CV,16.8901,-24.9804,78.35,73,40,12.66,scattered clouds
290,Naryan-Mar,RU,67.6713,53.087,35.71,78,100,5.28,overcast clouds
291,Upernavik,GL,72.7868,-56.1549,31.62,95,100,8.86,light snow
292,Talisay,PH,10.2447,123.8494,89.62,62,40,5.75,scattered clouds
293,Dingle,PH,10.9995,122.6711,84.63,77,95,2.3,overcast clouds
294,Balkhash,KZ,46.844,74.9804,34.41,75,0,8.95,clear sky
295,Obodivka,UA,48.4051,29.2477,43.34,64,12,5.28,few clouds
296,Havoysund,NO,70.9963,24.6622,49.08,76,11,24.25,few clouds
297,Siddipet,IN,18.1,78.85,75.0,91,16,7.36,few clouds
298,Urengoy,RU,65.9667,78.3667,28.99,95,100,14.12,overcast clouds
299,Thompson,CA,55.7435,-97.8558,53.76,66,20,2.3,few clouds
300,Sinnamary,GF,5.3833,-52.95,80.67,80,38,10.87,scattered clouds
301,Muhos,FI,64.808,25.9931,47.98,82,100,10.74,overcast clouds
302,Champasak,LA,14.75,106.0,76.08,94,97,1.81,overcast clouds
303,Myitkyina,MM,25.3833,97.4,79.77,88,64,0.85,broken clouds
304,Jumla,NP,29.2747,82.1838,61.97,81,54,2.39,broken clouds
305,Sumter,US,28.7086,-82.0831,79.11,81,65,8.9,broken clouds
306,Northam,GB,51.0333,-4.2167,56.01,89,100,14.79,overcast clouds
307,Polyarnyy,RU,69.1989,33.4478,41.47,77,100,15.66,overcast clouds
308,Astana,KZ,51.1801,71.446,35.55,87,40,4.47,scattered clouds
309,Sitka,US,57.0531,-135.33,49.89,81,90,25.32,heavy intensity rain
310,Baoqing,CN,46.3317,132.2111,54.97,51,34,4.16,scattered clouds
311,San Isidro,PE,-12.1167,-77.05,60.51,78,90,1.01,overcast clouds
312,Victor Harbor,AU,-35.5667,138.6167,67.19,68,2,1.01,clear sky
313,Vardo,NO,70.3705,31.1107,46.33,84,98,21.23,overcast clouds
314,Aitape,PG,-3.1374,142.3475,79.3,87,100,5.03,moderate rain
315,Banjar,ID,-8.19,114.9675,84.06,54,85,2.17,overcast clouds
316,Harer,ET,9.3094,42.1258,57.0,93,100,1.57,overcast clouds
317,Zhangjiakou,CN,40.81,114.8794,58.89,70,58,5.82,broken clouds
318,Mayumba,GA,-3.432,10.6554,75.52,86,100,5.21,overcast clouds
319,Deer Lake,CA,49.1667,-57.4316,46.26,100,90,10.36,mist
